Id,estVol
ID000BCMX94,0.340602
ID000BFYG28,0.323392
ID000BC6J11,0.221732
ID000BFKJL6,0.173491
ID000BL7S92,0.14435599999999998
ID000BFGNH7,0.173957
ID000BC9K88,0.291704
ID000BW6697,0.222847
ID000BD9L75,0.18473499999999998
ID000BKYTM7,0.126685
ID000BCJDC8,0.1727
IDZQ000QXG4,0.323719
ID000NPC987,0.15479300000000001
ID000BPL8W5,0.14261500000000002
ID000BDTBQ4,0.351846
ID000BFTTT7,0.251158
ID000BFXYQ4,0.331301
ID000BFTRN7,0.215017
ID000BFY1Y6,0.403702
ID000BK5WS6,0.123795
ID000BJKZ32,0.141085
ID000BFT3V1,0.265401
IDZQ000T938,0.108127
ID000F0QP26,0.21778000000000003
ID000BN4PQ8,0.17219
ID000BFT5N5,0.413473
ID000BDZS53,0.148055
ID000BCH3D1,0.16678800000000002
ID000BFT7H8,0.24238600000000002
ID000BDZVR2,0.421879
ID000BD7KN1,0.219823
ID000BRQVN5,0.380769
ID000BG37P5,0.255137
ID000BDSKH5,0.215673
ID000C0N5T7,0.198156
ID000BDR7T2,0.18809700000000001
ID000NHW8S3,0.182061
ID000FJH6R0,0.144886
ID000BMV1Z3,0.21537800000000001
ID000M7T338,0.242275
ID000BVX699,0.524798
ID000BFTN92,0.198204
ID000C3RNT8,0.24231599999999998
ID000BVM7D4,0.233438
ID000LGVDT6,0.24004099999999998
ID000CRQZQ2,0.19553299999999998
ID000CRGDK8,0.159681
ID000C89KR5,0.269072
ID000FDL8Z5,0.16642300000000002
ID000CQPKC3,0.237252
ID000DMZS88,0.163768
ID000F1SW54,0.316793
ID000BWV7L3,0.48912100000000003
ID000PM8N95,0.165527
ID000PK2ZM3,0.185771
ID000BMCVS6,0.437105
ID000D8S211,0.28823499999999996
ID000BM35T2,0.278606
ID000F4LHP6,0.245995
ID000C9PMR1,0.28824
ID000R51D35,0.263072
ID000KXS3S7,0.143013
ID000Q71V78,0.46742799999999995
ID000QRSLT3,0.351713
ID000BJ7WR8,0.534751
ID000J82Q56,0.21902399999999997
ID000RJ1B93,0.26609299999999997
ID000QXW3S6,0.36679
ID000C638W6,0.16889300000000002
ID000D76RK1,0.330295
ID000LZ2NG8,0.221111
ID000BTFR70,0.351005
ID000BNWF16,0.30741999999999997
ID000BD7CY7,0.208527
ID000Q908X7,0.1962
ID000BFX7V7,0.180923
ID000Q9ZVY7,0.380642
ID000PXTNF1,0.323779
ID000HNMJM0,0.203478
ID001LZ3YM4,0.22473400000000002
ID000G9S788,0.185514
ID000BYWYY5,0.309717
ID000BN07L7,0.448917
ID000Q29Z27,0.470184
ID0027Y8J58,0.161237
ID003DCN346,0.554334
ID0043QHMS3,0.324254
ID002YVMSH5,0.603643
ID004PFNBK8,0.403217
ID000BXPWF0,0.144084
ID000PN3WP0,0.308718
ID004MDV3Z9,0.386975
ID000BPXH52,0.209605
ID000BN6DP4,0.140283
ID000BRW4V9,0.133171
ID000BD8DV7,0.212497
ID000BLBQW5,0.15495799999999998
IDZQ000CH56,0.240485
ID000BQ49H7,0.118075
ID000BSDBR7,0.0867141
ID000BQ4CR9,0.149595
ID000BQCV89,0.251727
ID000BPX479,0.144333
ID000BMVWD9,0.152846
ID000BS0RG8,0.10051399999999999
ID000BQ5YC6,0.119941
ID000BPYXW6,0.219953
ID000BD8BK3,0.153666
ID000BRV6T8,0.22349899999999998
ID000BPX7Y2,0.3057
ID000BQR198,0.186276
ID000BS0SP6,0.1563
ID000BRV5T0,0.272631
ID000BPWG46,0.10868
ID000BLSXQ9,0.145583
ID000BPWV70,0.203753
ID000BLT3C9,0.333119
ID000BPWR97,0.120189
ID000BPX2K8,0.162938
ID000BVDBF3,0.188804
ID000BRV8L2,0.17261500000000002
ID000BLQR75,0.361112
ID000BRXYH8,0.21538200000000002
ID000BPXFV7,0.293518
ID000BRW804,0.143473
ID000BRPP68,0.154113
ID000BPYTH2,0.378344
ID000BPYW94,0.153375
ID000BPXBH2,0.21715900000000002
ID000LGGPW2,0.245367
ID000C2M2P5,0.44241499999999995
ID000LFQG62,0.187903
ID000BNQJK4,0.16048199999999999
ID000BRPN09,0.262341
ID000BPWRY9,0.19749
ID000BRW733,0.229704
ID000HTDW48,0.175244
ID000C55X79,0.11800999999999999
ID000C58YM7,0.20415999999999998
ID000BPXD42,0.243166
ID000C55W71,0.278878
ID000C52T62,0.241398
ID000BRT1B1,0.17231
ID000LFQCN2,0.20186500000000002
ID000BPXT92,0.318243
ID000LFK134,0.376623
