Date,Time,Id,ResidualNoWinsorCumReturn,RawNoWinsorCumReturn
20140701,10:00:00.000,IDZQ0003GF7,-0.0012252467,-0.0012593508
20140701,10:00:00.000,IDZQ00047M8,0.0038473888,0.003927612
20140701,10:00:00.000,IDZQ00048R1,-0.0014847254,-0.004470968
20140701,10:00:00.000,IDZQ0005R34,-0.0021030207,-0.0019932943
20140701,10:00:00.000,IDZQ0005SC2,-0.0033120478,-0.0073160534
20140701,10:00:00.000,IDZQ0007ZC4,-0.0069750855,0.005953092
20140701,10:00:00.000,IDZQ0008WW8,-0.004151811,-0.0035236028
20140701,10:00:00.000,IDZQ0009HH7,-0.0022585688,-0.0029080517
20140701,10:00:00.000,IDZQ0009P98,-0.003461735,-0.005024365
20140701,10:00:00.000,IDZQ000BBR6,0.0043958854,-0.0045533883
20140701,10:00:00.000,IDZQ000BLR4,-0.009780337,-0.009752037
20140701,10:00:00.000,IDZQ000DWM3,-0.013495672,-0.008640819
20140701,10:00:00.000,IDZQ000F3R0,-0.0030018578,0.006381433
20140701,10:00:00.000,IDZQ000F8T7,0.0010771834,0.0010234395
20140701,10:00:00.000,IDZQ000FLJ9,0.0015772843,0.0050763553
20140701,10:00:00.000,IDZQ000KL21,0.00067593745,-0.0017694331
20140701,10:00:00.000,IDZQ000M533,-0.0059263543,-0.0078050927
20140701,10:00:00.000,IDZQ000MKV9,0.0034359582,0.0030616862
20140701,10:00:00.000,IDZQ000MVL6,-0.012803898,-0.0133107435
20140701,10:00:00.000,IDZQ000MWP0,0.0008181938,0.0017459283
20140701,10:00:00.000,IDZQ000PTP4,0.0035027105,0.0070969495
20140701,10:00:00.000,IDZQ000Q012,0.0094272625,0.010044207
20140701,10:00:00.000,IDZQ000QHK4,0.0066426196,0.014665922
20140701,10:00:00.000,IDZQ000VT77,-0.00032135402,-0.0007042389
20140701,10:00:00.000,IDZQ000WBV8,-0.0019412752,-0.0068409615
20140701,10:00:00.000,IDZQ000WDG1,0.005589017,0.006266715
20140701,10:00:00.000,IDZQ000WYN7,0.0062570805,0.009758081
20140701,10:00:00.000,IDZQ000X6D8,0.0019033112,0.0019987505
20140701,10:00:00.000,IDZQ000X8Q0,-0.0016950759,-0.002914237
20140701,10:00:00.000,IDZQ000XJ04,0.027000392,0.032767154
20140701,10:00:00.000,IDZQ000XSY7,-0.005832575,-0.0043540965
20140701,10:00:00.000,IDZQ000XWR6,-0.0063400157,-0.0011218712
20140701,10:00:00.000,IDZQ000Y0W9,0.01462062,0.016883627
20140701,10:00:00.000,IDZQ000Y7B7,-0.009681346,-0.0017235263
20140701,10:00:00.000,IDZQ000Y8Q9,0.0013010089,-0.006583622
20140701,10:00:00.000,IDZQ000YB91,0.00020675536,-0.007964964
20140701,10:00:00.000,IDZQ000YDZ8,-0.008416288,-0.0043529994
20140701,10:00:00.000,IDZQ000YW68,0.0012103777,0.0007275713
20140701,10:00:00.000,IDZQ000Z3V3,-0.0002892021,0.0058396365
20140701,10:00:00.000,IDZQ000Z3Z9,0.0015329542,-0.0023486398
20140701,10:00:00.000,IDZQ000Z9D0,-0.003278951,-0.0038433792
20140701,10:00:00.000,IDZQ000ZKM5,-0.013366145,-0.008646689
20140701,10:00:00.000,IDZQ000ZTH2,0.00036078386,0.0026233832
20140701,10:00:00.000,ID000BC0991,0.0055990075,0.0068189637
20140701,10:00:00.000,ID000BC0KZ7,-8.727472e-05,0.0002816072
20140701,10:00:00.000,ID000BC0QR3,-0.006930729,-0.0030769676
20140701,10:00:00.000,ID000BC1099,-0.002346949,-0.0051289746
20140701,10:00:00.000,ID000BC12C1,0.014151984,0.014690771
20140701,10:00:00.000,ID000BC1543,-0.001631112,0.0041765324
20140701,10:00:00.000,ID000BC15X1,-0.0016608312,-0.003810106
20140701,10:00:00.000,ID000BC1801,0.003248471,0.0059819533
20140701,10:00:00.000,ID000BC1FY8,-0.005498428,-0.0088698305
20140701,10:00:00.000,ID000BC1HT0,-0.0069347615,-0.0065762736
20140701,10:00:00.000,ID000BC1RY2,-0.007479965,-0.0070721423
20140701,10:00:00.000,ID000BC2356,-0.15232056,-0.15042946
20140701,10:00:00.000,ID000BC3676,0.0037662426,0.0068077496
20140701,10:00:00.000,ID000BC3SD1,0.0056021432,0.002987688
20140701,10:00:00.000,ID000BC3V44,-0.0011610102,-0.003955306
20140701,10:00:00.000,ID000BC49N1,0.0016730324,0.005357116
20140701,10:00:00.000,ID000BC4N05,0.004495313,0.0044421614
20140701,10:00:00.000,ID000BC4R79,0.026115317,0.021226577
20140701,10:00:00.000,ID000BC4VC4,0.0015886239,0.0027536065
20140701,10:00:00.000,ID000BC4WR6,0.009164018,0.014424981
20140701,10:00:00.000,ID000BC5TD7,0.004540432,0.0028820133
20140701,10:00:00.000,ID000BC6K90,-0.0059351693,-0.00159212
20140701,10:00:00.000,ID000BC6TT9,0.0014444718,0.0017656508
20140701,10:00:00.000,ID000BC75Z3,-0.0023460311,0.00403442
20140701,10:00:00.000,ID000BC7PK5,-0.0027321482,-0.0040799766
20140701,10:00:00.000,ID000BC7QR6,0.0016897568,-0.0018344214
20140701,10:00:00.000,ID000BC7RM9,0.004223746,0.0008304952
20140701,10:00:00.000,ID000BC7ZT4,-0.00048752697,0.0009980018
20140701,10:00:00.000,ID000BC8494,-0.0046987757,-0.004868946
20140701,10:00:00.000,ID000BC8564,-0.0036623976,4.7759386e-08
20140701,10:00:00.000,ID000BC85Z2,0.0059035327,0.0100650275
20140701,10:00:00.000,ID000BC8699,0.0028777884,0.007847691
20140701,10:00:00.000,ID000BC8831,-0.0065712132,-0.0036109413
20140701,10:00:00.000,ID000BC8CB3,-0.001934158,0.00071741414
20140701,10:00:00.000,ID000BC8GG9,0.0066210157,0.0081442995
20140701,10:00:00.000,ID000BC8JQ2,0.0071275607,0.008107123
20140701,10:00:00.000,ID000BC8MY6,-0.009886455,-0.009292774
20140701,10:00:00.000,ID000BC9821,-0.0004139072,-0.0051660775
20140701,10:00:00.000,ID000BC9LX8,-0.00089722313,-0.00028534987
20140701,10:00:00.000,ID000BC9P50,0.003474145,0.0029916808
20140701,10:00:00.000,ID000BC9YD2,-0.0015179877,-0.0002634602
20140701,10:00:00.000,ID000BC9Z85,-0.0010355462,0.0016682363
20140701,10:00:00.000,ID000BC9ZX7,0.00057489064,-0.0029657634
20140701,10:00:00.000,ID000BCB2K1,0.0035892737,0.003700813
20140701,10:00:00.000,ID000BCBT22,-0.005856796,-0.0050864113
20140701,10:00:00.000,ID000BCCFR4,0.0064085433,0.0045139156
20140701,10:00:00.000,ID000BCCK93,-0.0033982699,-0.004405051
20140701,10:00:00.000,ID000BCCNC3,-0.006716756,-0.009967326
20140701,10:00:00.000,ID000BCCRV3,0.00014155703,-0.0033118916
20140701,10:00:00.000,ID000BCD7C7,-0.0015438164,-0.00556776
20140701,10:00:00.000,ID000BCD988,-0.0010120745,-0.002752856
20140701,10:00:00.000,ID000BCDPP3,0.0152170975,0.0209854
