Date,Id,SharesOutstanding
20160615,ID00007JMS4,50.0
20160615,ID0000DNN04,50.0
20160615,ID0000DP217,50.0
20160615,ID0000DQVM9,50.0
20160615,ID0000DT838,50.0
20160615,ID0000DTTJ5,50.0
20160615,ID0000DWTV7,50.0
20160615,ID0000F22K6,50.0
20160615,ID0000F72N8,50.0
20160615,ID0000F72P6,50.0
20160615,ID0000F72Q5,50.0
20160615,ID0000FGM81,50.0
20160615,ID0000FLJP3,50.0
20160615,ID0000FR2H3,50.0
20160615,ID0000FTLF1,50.0
20160615,ID000B9WTK6,1.848
20160615,ID000B9ZG12,337.535
20160615,IDZQ0000RP5,492.173
20160615,IDZQ00028F6,113.695
20160615,IDZQ0003GF7,110.58
20160615,IDZQ0003JW2,711.196
20160615,IDZQ00041J5,51.689
20160615,IDZQ00047M8,462.649
20160615,IDZQ00048R1,237.472
20160615,IDZQ0005505,219.713
20160615,IDZQ0005R34,574.214
20160615,IDZQ0005SC2,839.394
20160615,IDZQ0006KZ3,12.611
20160615,IDZQ00072J0,19.943
20160615,IDZQ00074Z8,211.413
20160615,IDZQ00078M3,16.86
20160615,IDZQ0007ZC4,266.707
20160615,IDZQ00083Q9,7.111
20160615,IDZQ0008744,0.07
20160615,IDZQ0008WW8,1317.914
20160615,IDZQ0008Z60,468.35
20160615,IDZQ00095S1,2.709
20160615,IDZQ0009HH7,48.735
20160615,IDZQ0009P98,130.077
20160615,IDZQ000BBR6,834.373
20160615,IDZQ000BLR4,330.083
20160615,IDZQ000BQ48,0.696
20160615,IDZQ000BRG3,1.961
20160615,IDZQ000C552,9.756
20160615,IDZQ000C6F9,248.976
20160615,IDZQ000CLN7,3.0
20160615,IDZQ000DLD7,0.25
20160615,IDZQ000DWM3,4270.255
20160615,IDZQ000F3R0,175.8
20160615,IDZQ000F6Q4,71.0
20160615,IDZQ000F8T7,457.0
20160615,IDZQ000FLJ9,681.888
20160615,IDZQ000FPC7,699.287
20160615,ID000ID228,4.2
20160615,ID000ID3Z0,10.0
20160615,IDZQ000J314,2852.214
20160615,IDZQ000JHG7,116.773
20160615,IDZQ000JZ04,380.921
20160615,IDZQ000KL21,252.0
20160615,IDZQ000KVM7,23.991
20160615,IDZQ000KY05,871.02
20160615,IDZQ000LDF4,1289.935
20160615,IDZQ000LP58,57.871
20160615,IDZQ000LT87,0.003
20160615,IDZQ000LYN9,193.482
20160615,IDZQ000M1Y8,72.156
20160615,IDZQ000M374,2009.992
20160615,IDZQ000M533,390.219
20160615,IDZQ000M677,259.796
20160615,IDZQ000M8V6,1.4
20160615,IDZQ000MKV9,270.999
20160615,IDZQ000MQB8,4.381
20160615,IDZQ000MQK8,36.0
20160615,IDZQ000MVL6,108.004
20160615,IDZQ000MWP0,164.156
