Date,Id,MDV_63
20160523,ID00007JMS4,0.0
20160523,ID0000DNN04,0.0
20160523,ID0000DP217,2018.7976
20160523,ID0000DQVM9,0.0
20160523,ID0000DT838,2309.2573
20160523,ID0000DTTJ5,0.0
20160523,ID0000DWTV7,0.0
20160523,ID0000F22K6,2054.052
20160523,ID0000F72N8,0.0
20160523,ID0000F72P6,0.0
20160523,ID0000F72Q5,11889.48
20160523,ID0000FGM81,0.0
20160523,ID0000FLJP3,0.0
20160523,ID0000FR2H3,0.0
20160523,ID0000FTLF1,0.0
20160523,ID000B9WTK6,1924.2382
20160523,ID000B9X457,0.0
20160523,ID000B9ZG12,0.0
20160523,IDZQ0000RP5,4118768.2
20160523,IDZQ00028F6,128755.336
20160523,IDZQ0003GF7,9258222.0
20160523,IDZQ0003JW2,0.0
20160523,IDZQ00041J5,64480.85
20160523,IDZQ00047M8,10898566.0
20160523,IDZQ00048R1,42672220.0
20160523,IDZQ0005505,2577.491
20160523,IDZQ0005R34,3342137.2
20160523,IDZQ0005SC2,54851064.0
20160523,IDZQ0006KZ3,1684.767
20160523,IDZQ00072J0,305736.16
20160523,IDZQ00074Z8,0.0
20160523,IDZQ00078M3,4714.5596
20160523,IDZQ0007ZC4,20910766.0
20160523,IDZQ00083Q9,1630.7083
20160523,IDZQ0008744,0.0
20160523,IDZQ0008WW8,20366734.0
20160523,IDZQ0008Z60,233940.06
20160523,IDZQ00095S1,11888.163
20160523,IDZQ0009HH7,6202841.0
20160523,IDZQ0009P98,19409176.0
20160523,IDZQ000BBR6,58811770.0
20160523,IDZQ000BLR4,1607148.2
20160523,IDZQ000BQ48,3467.9602
20160523,IDZQ000BRG3,142661.84
20160523,IDZQ000C552,501268.3
20160523,IDZQ000C6F9,0.0
20160523,IDZQ000CLN7,519520.03
20160523,IDZQ000DLD7,20409.52
20160523,IDZQ000DWM3,44441484.0
20160523,IDZQ000F3R0,2374227.0
20160523,IDZQ000F6Q4,1727936.6
20160523,IDZQ000F8T7,238784340.0
20160523,IDZQ000FLJ9,18316242.0
20160523,IDZQ000FPC7,441297.78
20160523,ID000ID228,2816.2163
20160523,ID000ID3Z0,15119.73
20160523,IDZQ000J314,95415.695
20160523,IDZQ000JBM3,0.0
20160523,IDZQ000JHG7,64407.33
20160523,IDZQ000JZ04,28403.855
20160523,IDZQ000KL21,26685142.0
20160523,IDZQ000KVM7,164888.98
20160523,IDZQ000KY05,30715826.0
20160523,IDZQ000LDF4,12565.022
