Date,Id,MDV_63
20161101,ID00007JMS4,0.0
20161101,ID0000DNN04,0.0
20161101,ID0000DP217,0.0
20161101,ID0000DQVM9,0.0
20161101,ID0000DT838,0.0
20161101,ID0000DTTJ5,686.53503
20161101,ID0000DWTV7,0.0
20161101,ID0000F22K6,0.0
20161101,ID0000F72N8,0.0
20161101,ID0000F72P6,0.0
20161101,ID0000F72Q5,2614.8154
20161101,ID0000FGM81,0.0
20161101,ID0000FLJP3,4192.9033
20161101,ID0000FR2H3,0.0
20161101,ID0000FTLF1,0.0
20161101,ID000B9WTK6,2946.2402
20161101,ID000B9X457,0.0
20161101,ID000B9ZG12,0.0
20161101,IDZQ0000RP5,2890145.5
20161101,IDZQ00028F6,62174.086
20161101,IDZQ0003GF7,7637144.0
20161101,IDZQ0003JW2,0.0
20161101,IDZQ00041J5,30235.008
20161101,IDZQ00047M8,7082841.5
20161101,IDZQ00048R1,38577816.0
20161101,IDZQ0005505,1236.6024
20161101,IDZQ0005R34,2879288.8
20161101,IDZQ0005SC2,44557764.0
20161101,IDZQ0006KZ3,0.0
20161101,IDZQ00072J0,238698.02
20161101,IDZQ00074Z8,0.0
20161101,IDZQ00078M3,25607.66
20161101,IDZQ0007ZC4,14452698.0
20161101,IDZQ00083Q9,2336.346
20161101,IDZQ0008744,0.0
20161101,IDZQ0008WW8,13153272.0
20161101,IDZQ0008Z60,285983.1
20161101,IDZQ00095S1,0.0
20161101,IDZQ0009HH7,6458159.5
20161101,IDZQ0009P98,11993577.0
20161101,IDZQ000BBR6,80107736.0
20161101,IDZQ000BLR4,1284442.1
20161101,IDZQ000BQ48,2245.3213
20161101,IDZQ000BRG3,24445.459
20161101,IDZQ000C552,471324.22
20161101,IDZQ000C6F9,0.0
20161101,IDZQ000CLN7,452319.78
20161101,IDZQ000DLD7,12605.786
20161101,IDZQ000DWM3,34058056.0
20161101,IDZQ000F3R0,2822364.5
20161101,IDZQ000F6Q4,752580.06
20161101,IDZQ000F8T7,204095340.0
20161101,IDZQ000FLJ9,20965406.0
20161101,IDZQ000FPC7,2059824.5
20161101,ID000ID228,5581.412
20161101,ID000ID3Z0,13179.925
20161101,IDZQ000J314,140412.0
20161101,IDZQ000JHG7,121425.25
20161101,IDZQ000JZ04,12140.179
20161101,IDZQ000KL21,26943254.0
20161101,IDZQ000KVM7,181012.88
20161101,IDZQ000KY05,30136886.0
20161101,IDZQ000LDF4,3559.0212
20161101,IDZQ000LP58,17613.793
20161101,IDZQ000LT87,0.0
20161101,IDZQ000LYN9,91535.08
20161101,IDZQ000M1Y8,139418.55
20161101,IDZQ000M374,24367146.0
20161101,IDZQ000M533,12775617.0
20161101,IDZQ000M677,0.0
20161101,IDZQ000M8V6,0.0
20161101,IDZQ000MKV9,5071858.0
20161101,IDZQ000MQB8,513692.84
20161101,IDZQ000MQK8,1019076.06
20161101,IDZQ000MVL6,3984382.5
20161101,IDZQ000MWP0,4460155.5
20161101,IDZQ000N7T0,7028.83
20161101,IDZQ000NCQ2,14229.11
20161101,IDZQ000NGP4,11005.717
20161101,IDZQ000NJJ5,13.952707
20161101,IDZQ000NJR6,587.57635
20161101,IDZQ000P451,0.0
